,Unnamed: 0,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image,vocab,love,money,violence,drugs,gendered,sadness,joy,yes,no,gender
10,10,Black Sabbath,Fairies Wear Boots,Fairies Wear Boots by Black Sabbath,1970-09-18,1970,9,18.0,86274,https://genius.com/Black-sabbath-fairies-wear-boots-lyrics,0,1,4,"44 contributorsfairies wear boots lyrics  goin' home late last night suddenly i got a fright yeah i looked through a window and surprised what i saw fairy with boots are dancin' with a dwarf alright now  yeah fairies wear boots and you gotta believe me yeah i saw it i saw it i tell you no lies yeah fairies wear boots and you gotta believe me i saw it i saw it with my own two eyes alright now  yeah fairies wear boots and you gotta believe me yeah i saw it i saw it i tell you no lies yeah fairies wear boots and you gotta believe me i saw it i saw it with my own two eyes alright now  so i went to the doctor see what he could give me he said ""son son you've gone too far 'cause smokin' and trippin' is all that you do"" yeahyou might also like5embed",https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,70,0,0,0,0,3,0,0,2,5,male
11,11,Black Sabbath,Children of the Grave,Children of the Grave by Black Sabbath,1971-07-21,1971,7,21.0,84248,https://genius.com/Black-sabbath-children-of-the-grave-lyrics,0,1,4,32 contributorschildren of the grave lyrics  revolution in their minds the children start to march against the world in which they have to live and all the hate that's in their hearts they're tired of being pushed around and told just what to do they'll fight the world until they've won and love comes flowing through yeah  children of tomorrow live in the tears that fall today will the sunrise of tomorrow bring in peace in any way must the world live in the shadow of atomic fear can they win the fight for peace or will they disappear yeah  you might also like so you children of the world listen to what i say if you want a better place to live in spread the word today show the world that love is still alive you must be brave or you children of today are children of the grave yeah   children of the grave children of the grave children of the grave11embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,87,3,0,0,0,28,1,0,0,0,male
12,12,Black Sabbath,Electric Funeral,Electric Funeral by Black Sabbath,1970-09-18,1970,9,18.0,72278,https://genius.com/Black-sabbath-electric-funeral-lyrics,0,1,4,46 contributorselectric funeral lyrics reflex in the sky warn you you're gonna die storm coming you better hide from the atomic tide flashes in the sky turns houses into sties turns people into clay radiation minds decay  robot minds of robot slaves lead them to atomic graves plastic flowers melting sun fading moon falls upon dying world of radiation victims of mad frustration burning globe of obscene fire like electric funeral pyre  buildings crashing down to earth's cracking ground rivers turn to wood ice melt into blood earth lies in deathbed clouds cry for the dead terrifying rain is a burning pain electric funeral electric funeral electric funeral electric funeral you might also like and so in the sky shines the electric eye supernatural king takes earth under his wing heaven's golden chorus sings hell's angels flap their wings evil souls fall to hell ever trapped in burning cells 16embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,110,0,1,3,0,13,0,0,0,0,male
13,13,Black Sabbath,Hand of Doom,Hand of Doom by Black Sabbath,1970-09-18,1970,9,18.0,65397,https://genius.com/Black-sabbath-hand-of-doom-lyrics,0,1,4,35 contributorshand of doom lyrics what you gonna do time's caught up with you now you wait your turn you know there's no return take your routine roles you join the other fools turn to something new now it's killing you  first it was the bomb vietnam napalm disillusioning you push the needle in from life you escape reality's black drape colours in your mind satisfy your time  oh you you know you must be blind to do such things like this to take the sweet that you don't know you're giving death a kiss poor little fool now your mind is full of pleasure your body's looking ill to you it's shallow leisure so drop the acid pill don't stop to think now you might also like you're having a good time baby but that won't last your mind's all full of things you're living too fast go out enjoy yourself don't bottle it in you need someone to help you stick the needle in yeah   now you know the scene your skin starts turning green your eyes no longer see life's reality push the needle in face death's sickly grin holes are in your skin caused by deadly pin  head starts spinning 'round you fall down to the ground feel your body heave death hand starts to weave it's too late to turn you don't wanna learn price of life you hide now you're gonna die17embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,146,1,0,1,0,16,0,1,3,12,male
14,14,Black Sabbath,Snowblind,Snowblind by Black Sabbath,1972-09-25,1972,9,25.0,64795,https://genius.com/Black-sabbath-snowblind-lyrics,0,1,4,38 contributorssnowblind lyrics what you get and what you see things that don’t come easily feeling happy in my pain icicles within my brain cocaine  something blowing in my head winds of ice that soon will spread down to freeze my very soul makes me happy makes me cold  my eyes are blind but i can see the snowflakes glisten on the trees the sun no longer sets me free i feel the snowflakes freezing me   let the winter sun shine on let me feel the frost of dawn build my dreams on flakes of snow soon i’ll feel the chilling glow you might also like right don’t you think i know what i’m doing don’t tell me that it’s doing me wrong you’re the one that’s really the loser this is where i feel i belong right  crystal world with winter flowers turn my days to frozen hours lying snowblind in the sun will my ice age ever come 14embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,102,0,0,0,1,13,0,2,1,7,male
15,15,Black Sabbath,God Is Dead?,God Is Dead? by Black Sabbath,2013-04-19,2013,4,19.0,62813,https://genius.com/Black-sabbath-god-is-dead-lyrics,0,1,3,58 contributorsgod is dead lyrics lost in the darkness i fade from the light faith of my father my brother my maker and savior help me make it through the night blood on my conscience and murder in mind out of the gloom i rise up from my tomb into impending doom now my body is my shrine  the blood runs free the rain turns red give me the wine you keep the bread the voices echo in my head is god alive or is god dead is god dead  rivers of evil run through dying land swimming in sorrow they kill steal and borrow there is no tomorrow for the sinners will be damned ashes to ashes you cannot exhume a soul who do you trust when corruption and lust creed of all the unjust leaves you empty and unwhole you might also like when will this nightmare be over tell me when can i empty my head will someone tell me the answer is god really dead is god really dead  to safeguard my philosophy until my dying breath i transfer from reality into a living death i empathize with enemies until the timing’s right with god and satan at my side from darkness will come light  i watch the rain as it turns red give me more wine i don’t need bread these riddles that live in my head i don’t believe that god is dead god is dead nowhere to run nowhere to hide wondering if we will meet again on the other side do you believe a word what the good book said or is it just a holy fairytale and god is dead god is dead god is dead god is dead god is dead right   but still the voices in my head are telling me that god is dead the blood pours down the rain turns red i don’t believe that god is dead god is dead god is dead god is dead god is dead20embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,157,0,0,3,0,45,0,1,0,5,male
16,16,Black Sabbath,Warning,Warning by Black Sabbath,1970-02-13,1970,2,13.0,59127,https://genius.com/Black-sabbath-warning-lyrics,0,1,4,32 contributorswarning lyrics now the first day that i met ya i was looking in the sky when the sun turned all a blur and the thunderclouds rolled by the sea began to shiver and the wind began to moan it must've been a sign for me to leave you well alone  i was born without you baby but my feelings were a little bit too strong  you never said you love me and i don't believe you can 'cause i saw you in a dream and you were with another man you looked so cool and casual and i tried to look the same but now i've got to love ya tell me who have i to blame  i was born without you baby but my feelings were a little bit too strong you might also like  now the whole wide world is movin' 'cause there's iron in my heart i just can't keep from cryin' 'cause you say we've got to part sorrow grips my voice as i stand here all alone and watch you slowly take away a love i've never known  i was born without you baby but my feelings were a little bit too strong just a little bit too strong  now the whole wide world is movin' 'cause there's iron in my heart i just can't keep from cryin' 'cause you say we've got to part sorrow grips my voice as i stand here all alone and watch you slowly take away a love i've never known i was born without you baby but my feelings were a little bit too strong just a little bit too strong2embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,108,10,0,0,0,23,0,0,0,7,male
17,17,Black Sabbath,Solitude,Solitude by Black Sabbath,1971-07-21,1971,7,21.0,58931,https://genius.com/Black-sabbath-solitude-lyrics,0,1,4,33 contributorssolitude lyrics my name it means nothing my fortune is less my future is shrouded in dark wilderness sunshine is far away clouds linger on everything i possessed now they are gone they are gone they are gone  oh where can i go to and what can i do nothing can please me only thoughts are of you you just laughed when i begged you to stay i've not stopped crying since you went away you went away you went away  the world is a lonely place you're on your own guess i will go home sit down and moan crying and thinking is all that i do memories i have remind me of you of you of youyou might also like25embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,78,0,0,0,0,8,0,1,0,4,male
18,18,Black Sabbath,The Wizard,The Wizard by Black Sabbath,1970-02-13,1970,2,13.0,58557,https://genius.com/Black-sabbath-the-wizard-lyrics,0,1,4,50 contributorsthe wizard lyrics misty morning clouds in the sky without warning a wizard walks by casting his shadow weaving his spell long grey cloak tinkling bell  never talking just keeps walking spreading his magic  evil power disappears demons worry when the wizard is near he turns tears into joy everyone's happy when the wizard walks by  never talking just keeps walking spreading his magic  sun is shining clouds have gone by all the people give a happy sigh he has passed by giving his sign left all the people feeling so fine you might also like never talking just keeps walking spreading his magic5embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,68,0,0,0,0,10,0,3,0,0,male
19,19,Black Sabbath,Into the Void,Into the Void by Black Sabbath,1971-07-21,1971,7,21.0,58275,https://genius.com/Black-sabbath-into-the-void-lyrics,0,1,4,37 contributorsinto the void lyrics  rocket engines burning fuel so fast up into the night sky they blast through the universe the engines whine could it be the end of man and time back on earth the flame of life burns low everywhere is misery and woe pollution kills the air the land and sea man prepares to meet his destiny yeah  rocket engines burning fuel so fast up into the black sky so vast burning metal through the atmosphere earth remains in worry hate and fear with the hateful battles raging on rockets flying to the glowing sun through the empires of eternal void freedom from the final suicide  freedom fighters sent out to the sun escape from brainwashed minds and pollution leave the earth to all its sin and hate find another world where freedom waits yeah you might also like past the stars in fields of ancient void through the shields of darkness where they find love upon a land a world unknown where the sons of freedom make their home leave the earth to satan and his slaves leave them to their future in their grave make a home where love is there to stay peace and happiness in every day12embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,117,2,0,2,0,46,4,0,0,2,male
