,Unnamed: 0,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image,vocab,love,money,violence,drugs,gendered,sadness,joy,yes,no,gender
42,42,Foo Fighters,The Pretender,The Pretender by Foo Fighters,2007-08-21,2007,8,21.0,366869,https://genius.com/Foo-fighters-the-pretender-lyrics,0,1,4,keep you in the dark you know they all pretend keep you in the dark and so it all began  send in your skeletons sing as their bones go marchin' in again the need you buried deep the secrets that you keep are ever ready are you ready i'm finished makin' sense done pleading ignorance that whole defense spinning infinity boy the wheel is spinnin' me it's never ending never ending same old story  what if i say i'm not like the others what if i say i'm not just another one of your plays you're the pretender what if i say i will never surrender what if i say i'm not like the others what if i say i'm not just another one of your plays you're the pretender what if i say that i'll never surrender you might also like in time or so i'm told i'm just another soul for sale oh well the page is out of print we are not permanent we're temporary temporary same old story  what if i say i'm not like the others what if i say i'm not just another one of your plays you're the pretender what if i say i will never surrender what if i say i'm not like the others what if i say i'm not just another one of your plays you're the pretender what if i say i will never surrender oh  i'm the voice inside your head you refuse to hear i'm the face that you have to face mirrorin' your stare i'm what's left i'm what's right i'm the enemy i'm the hand that'll take you down bring you to your knees so who are you yeah who are you yeah who are you yeah who are you keep you in the dark you know they all pretend what if i say i'm not like the others what if i say i'm not just another one of your plays you're the pretender what if i say i will never surrender what if i say i'm not like the others what if i say i'm not just another one of your plays you're the pretender what if i say i will never surrender what if i say i'm not like the others keep you in the dark what if i say i'm not just another one of your plays you know they all you're the pretender pretend what if i say i will never surrender what if i say i'm not like the others keep you in the dark what if i say i'm not just another one of your plays you know they all you're the pretender pretend what if i say i will never surrender so who are you yeah who are you yeah who are you61,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,110,0,0,0,0,75,0,0,0,31,male
43,43,Foo Fighters,All My Life,All My Life by Foo Fighters,2002-09-24,2002,9,24.0,337629,https://genius.com/Foo-fighters-all-my-life-lyrics,0,2,4,43 contributorsall my life lyrics all my life i've been searchin' for somethin' somethin' never comes never leads to nothin' nothin' satisfies but i'm gettin' close closer to the prize at the end of the rope all night long i dream of the day when it comes around then it's taken away leaves me with the feelin' that i feel the most feel it come to life when i see your ghost  come down don't you resist you've such a delicate wrist and if i give it a twist somethin' to hold when i lose my grip will i find somethin' in there to give me just what i need another reason to bleed one by one hidden up my sleeve one by one hidden up my sleeve  hey don't let it go to waste i love it but i hate the taste weight keepin' me down hey don't let it go to waste i love it but i hate the taste weight keepin' me down you might also like will i find a believer another one who believes another one to deceive over and over down on my knees if i get any closer and if you open up wide and if you let me inside on and on i got nothin' to hide on and on i got nothin' to hide  hey don't let it go to waste i love it but i hate the taste weight keepin' me down hey don't let it go to waste i love it but i hate the taste weight keepin' me down  all my life i've been searchin' for somethin' somethin' never comes never leads to nothin' nothin' satisfies but i'm gettin' close closer to the prize at the end of the rope all night long i dream of the day when it comes around then it's taken away leaves me with the feelin' that i feel the most feel it come to life when i see your ghost then i'm done done on to the next one done done and i'm on to the next one done done and i'm on to the next one done done and i'm on to the next one done done and i'm on to the next one done done and i'm on to the next one done done and i'm on to the next one done i'm done and i'm on to the next done done on to the next one done i'm done and i'm on to the next one done done on to the next one done i'm done and i'm on to the next  hey don't let it go to waste i love it but i hate the taste weight keepin' me down hey don't let it go to waste i love it but i hate the taste weight keepin' me down  done done on to the next one done and i'm done and i'm on to the next22embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,111,6,0,0,0,54,6,0,0,10,male
44,44,Foo Fighters,Best of You,Best of You by Foo Fighters,2005-05-30,2005,5,30.0,275405,https://genius.com/Foo-fighters-best-of-you-lyrics,0,2,4,53 contributorsbest of you lyrics i've got another confession to make i'm your fool everyone's got their chains to break holdin' you were you born to resist or be abused  is someone getting the best the best the best the best of you is someone getting the best the best the best the best of you are you gone and on to someone new  i needed somewhere to hang my head without your noose you gave me something that i didn't have but had no use i was too weak to give in too strong to lose my heart is under arrest again but i break loose my head is giving me life or death but i can't choose i swear i'll never give in i refuse you might also like is someone getting the best the best the best the best of you is someone getting the best the best the best the best of you has someone taken your faith it's real the pain you feel you trust you must confess is someone getting the best the best the best the best of you oh oh oh oh oh  has someone taken your faith it's real the pain you feel the life the love you'd die to heal the hope that starts the broken hearts you trust you must confess is someone getting the best the best the best the best of you is someone getting the best the best the best the best of you i've got another confession my friend i'm no fool i'm getting tired of starting again somewhere new were you born to resist or be abused i swear i'll never give in i refuse  is someone getting the best the best the best the best of you is someone getting the best the best the best the best of you has someone taken your faith it's real the pain you feel you trust you must confess is someone getting the best the best the best the best of you oh29embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,100,3,0,0,0,61,0,1,0,7,male
45,45,Foo Fighters,Learn to Fly,Learn to Fly by Foo Fighters,1999-09-18,1999,9,18.0,231342,https://genius.com/Foo-fighters-learn-to-fly-lyrics,0,2,3,46 contributorslearn to fly lyrics run and tell all of the angels this could take all night think i need a devil to help me get things right hook me up a new revolution 'cause this one is a lie we sat around laughin' and watched the last one die  now i'm lookin' to the sky to save me lookin' for a sign of life lookin' for something to help me burn out bright i'm lookin' for a complication lookin' 'cause i'm tired of lyin' make my way back home when i learn to fly high  i think i'm done nursin' the patience it can wait one night i'd give it all away if you give me one last try we'll live happily ever trapped if you just save my life run and tell the angels that everything's all right  now i'm lookin' to the sky to save me i'm lookin' for a sign of life lookin' for something to help me burn out bright i'm lookin' for a complication lookin' 'cause i'm tired of tryin' make my way back home when i learn to fly high make my way back home when i learn to  fly along with me i can't quite make it alone try to make this life my own fly along with me i can't quite make it alone try to make this life my own you might also like i'm lookin' to the sky to save me i'm lookin' for a sign of life lookin' for something to help me burn out bright i'm lookin' for a complication lookin' 'cause i'm tired of tryin' make my way back home when i learn to lookin' to the sky to save me i'm lookin' for a sign of life lookin' for something to help me burn out bright i'm lookin' for a complication lookin' 'cause i'm tired of tryin' make my way back home when i learn to fly high make my way back home when i learn to fly make my way back home when i learn to20embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,95,0,0,0,0,21,0,1,0,2,male
46,46,Foo Fighters,The Sky Is a Neighborhood,The Sky Is a Neighborhood by Foo Fighters,2017-08-23,2017,8,23.0,201863,https://genius.com/Foo-fighters-the-sky-is-a-neighborhood-lyrics,0,1,6,44 contributorsthe sky is a neighborhood lyrics ahah ahah ahahahah  the sky is a neighborhood so keep it down heart is a storybook a star burned out the sky is a neighborhood don't make a sound lights comin' up ahead don't look now  the sky is a neighborhood ahah ahah the sky is a neighborhood ahah ahah don't look now  oh my dear heaven is a big bang now gotta get to sleep somehow bangin' on the ceiling bangin' on the ceiling keep it down oh my dear heaven is a big bang now gotta get to sleep somehow bangin' on the ceiling bangin' on the ceiling keep it down  mind is a battlefield all hope is gone trouble to the right and left whose side you're on thoughts like a minefield i'm a tickin' bomb maybe you should watch your step don't get lost you might also like the sky is a neighborhood ahah ahah the sky is a neighborhood ahah ahah don't get lost  oh my dear heaven is a big bang now gotta get to sleep somehow bangin' on the ceiling bangin' on the ceiling keep it down oh my dear heaven is a big bang now gotta get to sleep somehow bangin' on the ceiling bangin' on the ceiling keep it down  the sky is a neighborhood  heart is a storybook a star burned out something comin' up ahead don't look now  oh my dear heaven is a big bang now gotta get to sleep somehow bangin' on the ceiling bangin' on the ceiling keep it down oh my dear heaven is a big bang now gotta get to sleep somehow bangin' on the ceiling bangin' on the ceiling keep it down the sky is a neighborhood oh my dear heaven is a big bang now gotta get to sleep somehow the sky is a neighborhood bangin' on the ceiling bangin' on the ceiling keep it down the sky is a neighborhood19embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,71,2,0,0,0,37,0,1,0,10,male
47,47,Foo Fighters,Run,Run by Foo Fighters,2017-06-01,2017,6,1.0,175337,https://genius.com/Foo-fighters-run-lyrics,0,1,6,30 contributorsrun lyrics wake up run for your life with me wake up run for your life with me  in another perfect life in another perfect light we run we run we run  the rats are on parade another mad charade what you gonna do the hounds are on the chase everything's erased what you gonna do i need some room to breathe you can stay asleep if you wanted to they say that's nothing's free you can run with me if you wanted to yeah you can run with me if you wanted to  before the time runs out there's somewhere to run wake up run for your life with me wake up run for your life with me you might also like in another perfect life in another perfect light we run we run we run run  we are the nation's stakes if everything's erased what you gonna do i need some room to breathe you can run with me if you wanted to yeah you can run with me if you wanted to  before the time runs out there's somewhere to run wake up run for your life with me wake up run for your life with me  in another perfect life in another perfect light we run we run we run run  wake up run for your life with me wake up run for your life with me  in another perfect life in another perfect light we run we run we run run20embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,60,0,0,0,0,35,0,0,0,10,male
48,48,Foo Fighters,Monkey Wrench,Monkey Wrench by Foo Fighters,1997-04-28,1997,4,28.0,146729,https://genius.com/Foo-fighters-monkey-wrench-lyrics,0,1,3,48 contributorsmonkey wrench lyrics what have we done with innocence it disappeared with time it never made much sense adolescent resident wasting another night on plannin' my revenge  one in ten one in ten one in ten  don't wanna be your monkey wrench one more indecent accident i'd rather leave than suffer this i'll never be your monkey wrench  all this time to make amends what do you do when all your enemies are friends now and then i'll try to bend under pressure wind up snapping in the end  one in ten one in ten one in ten you might also like don't wanna be your monkey wrench one more indecent accident i'd rather leave than suffer this i'll never be your monkey wrench  temper temper temper one last thing before i quit i never wanted any more than i could fit into my head i still remember every single word you said and all the shit that somehow came along with it still there's one thing that comforts me since i was always caged and now i'm free  don't wanna be your monkey wrench one more indecent accident i'd rather leave than suffer this i'll never be your monkey wrench don't wanna be your monkey wrench fall in fall out don't wanna be your monkey wrench fall in fall out don't wanna be your monkey wrench fall in fall out don't wanna be your monkey wrench12embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,104,0,0,0,0,15,0,0,1,4,male
49,49,Foo Fighters,Times Like These,Times Like These by Foo Fighters,2003-01-14,2003,1,14.0,144519,https://genius.com/Foo-fighters-times-like-these-lyrics,0,2,4,35 contributorstimes like these lyrics  i i'm a one way motorway i'm the one that drives away and follows you back home i i'm a streetlight shinin' i'm a white light blindin' bright burnin' off and on uhuh  it's times like these you learn to live again it's times like these you give and give again it's times like these you learn to love again it's times like these time and time again  i i'm a new day risin' i'm a brand new sky to hang the stars upon tonight but i i'm a little divided do i stay or run away and leave it all behind uhuh  it's times like these you learn to live again it's times like these you give and give again it's times like these you learn to love again it's times like these time and time again you might also like  uhuh uhuh uhuh  it's times like these you learn to live again it's times like these you give and give again it's times like these you learn to love again it's times like these time and time again it's times like these you learn to live again it's times like these you give and give again it's times like these you learn to love again it's times like these time and time again  it's times like these you learn to live again it's times like these you give and give again it's times like these you learn to love again it's times like these time and time again12embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,62,5,0,0,0,23,0,0,0,0,male
50,50,Foo Fighters,Walk,Walk by Foo Fighters,2011-06-17,2011,6,17.0,128106,https://genius.com/Foo-fighters-walk-lyrics,0,1,5,32 contributorswalk lyrics a million miles away your signal in the distance to whom it may concern i think i lost my way gettin' good at startin' over every time that i return  learnin' to walk again i believe i've waited long enough where do i begin learnin' to talk again can't you see i've waited long enough where do i begin  do you remember the days we built these paper mountains then sat and watched them burn i think i found my place can't you feel it growin' stronger little conquerors  learnin' to walk again i believe i've waited long enough where do i begin learnin' to talk again i believe i've waited long enough where do i begin you might also like now for the very first time don't you pay no mind set me free again to keep alive a moment at a time but still inside a whisper to a riot to sacrifice but knowin' to survive the first to climb another state of mind i'm on my knees i'm prayin' for a sign forever whenever i never wanna die i never wanna die i never wanna die i'm on my knees i never wanna die i'm dancin' on my grave i'm runnin' through the fire forever whenever i never wanna die i never wanna leave i'll never say goodbye forever whenever forever whenever  learnin' to walk again i believe i've waited long enough where do i begin learnin' to talk again can't you see i've waited long enough where do i begin learnin' to walk again i believe i've waited long enough learnin' to talk again can't you see i've waited long enough27embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,115,0,0,0,0,27,0,0,0,12,male
51,51,Foo Fighters,Big Me,Big Me by Foo Fighters,1996-02-25,1996,2,25.0,86895,https://genius.com/Foo-fighters-big-me-lyrics,0,2,1,26 contributorsbig me lyrics when i talk about it carries on reasons only knew when i talk about it aries or treasons all renew  big me to talk about it i could stand to prove if we can get around it i know that it's true  well i talked about it carried on reasons only knew but it's you i fell into  well i talked about it carries on reasons only knew when i talk about it aries or treasons all renew  big me to talk about it i could stand to prove if we can get around it i know that it's true you might also like well i talked about it put it on never was it true but it's you i fell into  well i talked about it put it on never was it true but it's you i fell into i fell into i fell into4embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,47,0,0,0,0,3,0,0,0,2,male
52,52,Foo Fighters,These Days,These Days by Foo Fighters,2011-11-01,2011,11,1.0,66685,https://genius.com/Foo-fighters-these-days-lyrics,0,1,5,25 contributorsthese days lyrics one of these days the ground will drop out from beneath your feet one of these days your heart will stop and play its final beat  one of these days the clocks will stop and time won't mean a thing one of these days their bombs will drop and silence everything  but it's alright yeah it's alright said it's alright  easy for you to say your heart has never been broken your pride has never been stolen not yet not yet one of these days i bet your heart'll be broken i bet your pride'll be stolen i bet i bet i bet i bet one of these days one of these days  one of these days your eyes will close and pain will disappear one of these days you will forget to hope and learn to fear you might also like but it's alright yeah it's alright said it's alright  easy for you to say your heart has never been broken your pride has never been stolen not yet not yet one of these days i bet your heart'll be broken i bet your pride'll be stolen i bet i bet i bet i bet one of these days one of these days  but it's alright yeah it's alright said it's alright yeah it's alright don't say it's alright don't say it's alright don't say it's alright  one of these days your heart will stop and play its final beat  but it's alright  easy for you to say your heart has never been broken your pride has never been stolen not yet not yet one of these days i bet your heart'll be broken i bet your pride'll be stolen i bet i bet i bet i bet one of these days one of these days one of these days13embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,69,8,0,6,0,29,0,7,1,6,male
53,53,Foo Fighters,I’ll Stick Around,I'll Stick Around by Foo Fighters,1995-09-04,1995,9,4.0,61777,https://genius.com/Foo-fighters-ill-stick-around-lyrics,0,2,1,27 contributorsi’ll stick around lyrics i thought i knew all it took to bother you every word i said was true and that you'll see how could it be i'm the only one who sees your rehearsed insanity yeah  i still refused all the methods you abused it's alright if you're confused let me be i've been around all the pawns you've gagged and bound they'll come back and knock you down and i'll be free  i've taken all and i've endured one day it all will fade i'm sure  i don't owe you anything i don't owe you anything i don't owe you anything i don't owe you anything  i had no hand in your ever desperate plan it returns and when it lands words are due i should've known we were better off alone i looked in and i was shown you were too you might also like i've taken all and i've endured one day it all will fade i'm sure  i don't owe you anything i don't owe you anything i don't owe you anything i don't owe you anything i don't owe you anything i don't owe you anything i don't owe you anything i don't owe you anything  i'll stick around i'll stick around and learn from all that came from it i'll stick around i'll stick around and learn from all that came from it i'll stick around i'll stick around and learn from all that came from it i'll stick around i'll stick around and learn from all that came from it yeah4embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,99,0,0,0,0,8,0,0,2,3,male
54,54,Foo Fighters,This Is a Call,This Is a Call by Foo Fighters,1995-06-19,1995,6,19.0,60746,https://genius.com/Foo-fighters-this-is-a-call-lyrics,0,2,1,29 contributorsthis is a call lyrics visiting is pretty visitin' is good seems that all they ever wanted was a brother this can be a secret we can keep it good even all they ever wanted had a problem  this is a call to all my past resignations this is a call to all  fingernails are pretty fingernails are good seems that all they ever wanted was a markin' them balloons are pretty big and say they should ever fall to ground call the magic marker  this is a call to all my past resignations this is a call to all this is a call to all my past resignations it's been too long   minocin is pretty minocin is good even all the cysts and mollusks tend to barter ritalin is easy ritalin is good even all the ones that watered down the daughter you might also like this is a call to all my past resignations this is a call to all this is a call to all my past resignations it's been too long   fingernails are pretty fingernails are good seems that all they ever wanted was a markin' them balloons are pretty big and say they should ever fall to ground call the magic marker  this is a call to all my past resignations this is a call to all this is a call to all my past resignations it's been too long 7embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,66,0,0,1,0,15,0,0,0,2,male
55,55,Foo Fighters,Shame Shame,Shame Shame by Foo Fighters,2020-11-07,2020,11,7.0,52635,https://genius.com/Foo-fighters-shame-shame-lyrics,0,2,6,if you want to i'll make you feel something real just to bother you now i got you under my thumb like a drug i will smother you  i'll be the one be the moon be the sun be the rain in your song go and put that record on if you want to i'll be the one be the tongue that will swallow you  shame shame shame shame shame shame shame shame  another splinter under the skin another season of loneliness i found a reason and buried it beneath a mountain of emptiness  ohohoh ohohoh ohoh ohoh oh ohohoh ohoh oh you might also like shame shame shame shame  who what where when shame shame just move along nothing wrong 'til we meet again shame shame i'll be the end shame shame i'll be the war at your door come and let me in shame shame  i'll be the one be the moon be the sun shame shame be the rain in your song go put that record on shame shame if you want to shame shame i'll be the one be the tongue that will swallow you shame shame  another splinter under the skin another season of loneliness i found a reason and buried it beneath a mountain of emptiness  ohohoh ohohoh ohoh ohoh oh ohohoh ohoh oh shame shame shame shame shame shame shame shame shame shame shame shame shame shame shame shame  another splinter under the skin another season of loneliness i found a reason and buried it beneath a mountain of emptiness  ohohoh ohohoh ohoh ohoh oh ohohoh ohoh oh  shame shame shame shame shame shame shame shame4,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,78,0,0,0,0,36,0,0,0,8,male
56,56,Foo Fighters,Rescued,Rescued by Foo Fighters,2023-04-19,2023,4,19.0,49755,https://genius.com/Foo-fighters-rescued-lyrics,0,2,5,it came in a flash it came outta nowhere it happened so fast and then it was over  oh are you thinkin' what i'm thinkin' is this happenin' now oh are you feelin' what i'm feelin' this is happenin' now  we're all free to some degree to dance under the lights i'm just waitin' to be rescued bring me back to life kings and queens and inbetweens we all deserve the right i'm just waitin' to be rescued i'm just waitin' to be rescued we're all just waitin' to be rescued tonight  i fell in a trap my hеart's gettin' colder it's comin' on fast it's over my shouldеr  oh are you thinkin' what i'm thinkin' is this happenin' now oh are you feelin' what i'm feelin' this is happenin' now you might also like we're all free to some degree to dance under the lights i'm just waitin' to be rescued bring me back to life kings and queens and inbetweens we all deserve the right i'm just waitin' to be rescued i'm just waitin' to be rescued we're all just waitin' to be rescued tonight  to be rescued tonight rescue me tonight rescue me tonight  we're all free to some degree to dance under the lights i'm just waitin' to be rescued bring me back to life kings and queens and inbetweens we all deserve the right i'm just waitin' to be rescued i'm just waitin' to be rescued we're all just waitin' to be rescued tonight  to be rescued tonight rescue me tonight rescue me tonight4,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,66,0,0,0,0,9,0,0,0,5,male
57,57,Foo Fighters,Under You,Under You by Foo Fighters,2023-05-17,2023,5,17.0,45628,https://genius.com/Foo-fighters-under-you-lyrics,0,1,5,i woke up and walked a million miles today i've been looking up and down for you all this time it still feels just like yesterday that i walked a million miles with you  over it think i'm getting over it but there's no getting over it  there are times that i need someone there are times i feel like no one sometimes i just don't know what to do there are days i can't remember there are days that last forever someday i'll come out from under you out from under you  someone said i'll never see your face again part of me just can't believe it's true pictures of us sharing songs and cigarettes this is how i'll always picture you  over it think i'm getting over it but there's no getting over it you might also like there are times that i need someone there are times i feel like no one sometimes i just don't know what to do there are days i can't remember there are days that last forever someday i'll come out from under you out from under you  out from under you  there are times i think it's over there are times i can't recover sometimes i just don't know what to do there are days i can't remember there are days that last forever someday i'll come out from under you out from under you  out from under you  out from under you out from under you out from under you3,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,82,0,0,0,0,28,0,0,1,7,male
58,58,Foo Fighters,Arrows,Arrows by Foo Fighters,2017-09-15,2017,9,15.0,44881,https://genius.com/Foo-fighters-arrows-lyrics,0,1,6,18 contributorsarrows lyrics she was a friend of mine alone on a dead end street dancin' through life on the front lines she led a quiet life ends they don't always meet years passed her by waitin' to rise  she had arrows in her eyes fear where her heart should be war in her mind  arrows in her eyes fear where her heart should be war in her mind shame in her cries arrows in her eyes tears in her arteries war in her mind shame as she cries fire away  under a silent light screamin' biology queen gemini the world in her sights i want a new life forming inside of me blessed and born into this fire  you had arrows in your eyes fear where your heart should be war in your mind you might also like arrows in your eyes fear where your heart should be war in your mind shame in your cries arrows in your eyes tears in your arteries war in your mind shame as you cry fire away oh   arrows in her eyes fear where her heart should be war in her mind shame in her cries arrows in her eyes tears in her arteries war in her mind shame as she cries fire away ohohohohohoh ohohohoh11embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,81,5,0,0,0,66,0,0,8,0,male
59,59,Foo Fighters,Aurora,Aurora by Foo Fighters,1999-11-02,1999,11,2.0,43006,https://genius.com/Foo-fighters-aurora-lyrics,0,2,3,16 contributorsaurora lyrics you believe there's something else to relieve your emptiness and you dream about yourself and you bleed and breathe the air and it's on and on and on and on and on  i just kinda died for you you just kinda stared at me we will always have that chance we can do this one more time  hell yeah i remember aurora hell yeah i remember aurora all this time hell yeah i remember aurora  take me now we can spin the sun around and the stars will all come out then we'll turn and come back down turn and come back down  you believe there's somewhere else where it's easier than this and you see outside yourself and you buy the hole you'll fill but still it's on and on and on and on and on you might also like hell yeah i remember aurora hell yeah i remember aurora all this time hell yeah i remember aurora  take me now we can spin the sun around and the stars will all come out then we'll turn and come back down turn and come back down  on and on and on aurora wait for everyone wait 'til the last one's done on and on and on aurora wait for everyone wait 'til the last one's done  take me now we can spin the sun around and the stars will all come out then we'll turn and come back down turn and come back down turn and come back down turn and come back down on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on and on3embed,https://images.genius.com/183fc4cb23c5dc92a9fda9e7dfef58c7.580x580x1.jpg,82,0,0,0,0,28,0,0,0,3,male
60,60,Fugazi,I’m So Tired,I'm So Tired by Fugazi,1999-03-23,1999,3,23.0,150464,https://genius.com/Fugazi-im-so-tired-lyrics,0,1,4,33 contributorsi’m so tired lyrics out here barely see my breath surrounded by jealousy and death i can't be reached only had one call dragged underneath separate from you all you all  this time lost my own return in spite of everything i've learned i hid my tracks spit out all my air slipped into cracks stripped of all my cares my cares  i'm so tired sheep are counting me no more struggle no more energy no more patient you can write that down it's all too crazy i'm not sticking 'roundyou might also like25embed,https://images.genius.com/86b8a6db9e3731b7e374eee2f3490be9.400x400x1.jpg,73,0,0,0,0,5,0,0,0,4,male
61,61,Fugazi,Waiting Room,Waiting Room by Fugazi,,1988,11,,88339,https://genius.com/Fugazi-waiting-room-lyrics,0,2,1,26 contributorswaiting room lyrics i am a patient boy i wait i wait i wait i wait my time is like water down a drain everybody's moving everybody's moving everybody's moving moving moving moving please don't leave me to remain in the waiting room  i don't want the news i cannot use it i don't want the news i won't live by it sitting outside of town everybody's always down tell me why because they can't get up  ahh come on and get up come on and get up  but i don't sit idly by ahh i'm planning a big surprise i'm gonna fight for what i wanna be and i won't make the same mistakes because i know because i know how much time that wastes and function function is the key to the waiting room you might also like i don't want the news i cannot use it i don't want the news i won't live by it sitting outside of town everybody's always down tell me why because they can't get up  ahh come on and get up  up for the waiting room  sitting in the waiting room ahh sitting in the waiting room ahh sitting in the waiting room ahh sitting in the waiting room tell me why because they can't get up19embed,https://images.genius.com/86b8a6db9e3731b7e374eee2f3490be9.400x400x1.jpg,79,0,0,0,0,17,0,0,0,4,male
62,62,Fugazi,Bad Mouth,Bad Mouth by Fugazi,,1988,6,,26384,https://genius.com/Fugazi-bad-mouth-lyrics,0,2,1,12 contributorsbad mouth lyricsyou can't be what you were so you better start being just what you are you can't be what you were the time is now it's running out it's running out it's running running running out you can't be what you were so you better start living the life that you're talking about you can't be what you were the no movement the no movement the no movement in a bad mouth it betrays a bad mind the no movement the no movement the no movement in a bad mouth it betrays a bad mind the no movement the no movement it betrays a bad mind the no movement the no movement the no movement in a bad mouth it betrays a bad mind you're always talking talking talking talking talking shit now but you will talk yourself down you're going way downyou might also like2embed,https://images.genius.com/86b8a6db9e3731b7e374eee2f3490be9.400x400x1.jpg,49,0,0,0,0,13,0,0,0,13,male
63,63,Fugazi,Repeater,Repeater by Fugazi,1990-04-19,1990,4,19.0,26323,https://genius.com/Fugazi-repeater-lyrics,0,2,1,23 contributorsrepeater lyrics you say i need a job i've got my own business you want to know what i do none of your fucking business but now i'm lying here and knowing that business i had a name but now i'm a number  123 repeater repeater repeater 1 2 3 repeater repeater  down by law i've got this nasty habit when i need something i just reach out and grab it once upon a time i had a name and a way but to you i'm nothing but a number  123 repeater repeater repeater 1 2 3 repeater repeater you might also like did you hear something outside it sounded like a gun stay away from that window boy it's not anyone that we know only about ourselves and what we read in the paper don't you know ink washes out easier than blood but we don't have to try it and we don't have to buy it  you've got you've got you've got  1 2 3 go repeater4embed,https://images.genius.com/86b8a6db9e3731b7e374eee2f3490be9.400x400x1.jpg,93,0,0,1,0,8,0,0,0,9,male
64,64,Fugazi,Suggestion,Suggestion by Fugazi,,1988,11,,26108,https://genius.com/Fugazi-suggestion-lyrics,0,2,1,14 contributorssuggestion lyricswhy can't i walk down a street free of suggestion why can't i walk down a street free of suggestion is my body my only trait in the eyes of men in the eyes of men i've got some skin when you want to look in i've got some there lays no reward in what you in what you in what you discover you spent yourself boy watching me suffer suffer your words suffer your eyes suffer your hands suffer your interpretation of what it is of what it is what it is what it is what it is what it is what it is to be a man i've got some skin when you wanna look in well i've got some she does nothing to deserve it he touches her 'cause he wants to observe it we sit back like they taught us we keep quiet like they taught us you might also likehe just wants he wants to prove it she does nothing to remove it we don't want anyone to mind us so we play the roles that they assigned us she does nothing to conceal it he touches her 'cause he wants to feel it we blame her for being there we are all here but we are all guilty4embed,https://images.genius.com/86b8a6db9e3731b7e374eee2f3490be9.400x400x1.jpg,95,0,0,0,0,36,0,0,3,4,male
65,65,Fugazi,Merchandise,Merchandise by Fugazi,1990-04-19,1990,4,19.0,20656,https://genius.com/Fugazi-merchandise-lyrics,0,2,1,13 contributorsmerchandise lyrics when we have nothing left to give there will be no reason for us to live but when we have nothing left to lose you will have nothing left to use  we owe you nothing you have no control we owe you nothing you have no control  merchandise it keeps us in line common sense says it's by design what could a businessman ever want more than to have us sucking in his store  we owe you nothing you have no control we owe you nothing you have no control  you are not what you own you are not what you own you are not what you own you are not what you own you might also like we owe you nothing you have no control we owe you nothing nothing you have no control we owe you nothing nothing you have no control2embed,https://images.genius.com/86b8a6db9e3731b7e374eee2f3490be9.400x400x1.jpg,53,0,0,0,0,5,0,0,0,24,male
66,66,Fugazi,Give Me the Cure,Give Me the Cure by Fugazi,,1988,6,,20336,https://genius.com/Fugazi-give-me-the-cure-lyrics,0,2,1,8 contributorsgive me the cure lyricsi never thought too hard on dying before i never sucked on the dying i never licked the side of dying before and now i'm feeling the dying you've got your hands over your ears you've got your mouth running on you've got your eyes looking for something that can never be found like a reason good god i don't need a reason i never thought too hard on dying before i never thought on the dying i never ever held the hand of dying before and now i'm feeling the dying and you've got to and you've got to and you've got to gimme the shot gimme the pill gimme the cure now what you've done to my world i never thought too hard on dying before i never thought on the dying i never walked the side of dying before and now i'm feel like i'm and now i'm feel like i'm it breaks it breaks it breaks yeah you might also likeunder your skin cap over your eyes i'm at the tip of your finger it breaks it breaks it breaks yeah tell me the reason gimme the shot gimme the pill gimme the cure it breaks it breaks it breaks now what you've done to my world coming around coming around coming around coming down give me the shot give me the pill give me the cure now what you've done to my world give me the shot now c'mon give me the pill give me the cure now what you've done to my world gimme the shot1embed,https://images.genius.com/86b8a6db9e3731b7e374eee2f3490be9.400x400x1.jpg,77,0,0,5,0,25,0,0,2,9,male
