,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image,gender,genre
10,Al Green,Here I Am (Come and Take Me),Here I Am (Come and Take Me) by Al Green,,1973.0,4.0,,8943,https://genius.com/Al-green-here-i-am-come-and-take-me-lyrics,0,1,2, i cant believe that its real the way that you make me feel a burning deep down inside a love that i cannot hide  our love is you and me baby that make the world go round and if keeping you and loving you means laying all my troubles down  here i am baby come and take me here i am baby wont you come and take me take me by the hand yeah show me here i am baby  it always ends up this way me begging you every day a love that i cannot have you broke my heart into half  our love is you and me baby that make the world go round keeping you and loving you means laying all my troubles down you might also like here i am baby come and take me here i am baby wont you come and take me take me by the hand yeah squeeze it here i am baby  when im down i can always call you for a helping hand i know youll do the best you can but it dont take much for me before my cup runs over all this loves inside of me i believe theres going to be an explosion yeah you can talk to me oh baby im in no hurry tell me all your troubles and you wont ever have to worry no and one more thing you just cant trust everybody everybody you see no no youll find yourself lost and alone on a darkened street  here i am baby come and take me here i am baby would you come and take me take me by the hand show me hey hey take me hey hey show me wont you here i am baby hey hey take me wont you teach me baby wont you take me by the hand teach me here i am baby,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
11,Al Green,Ride Sally Ride,Ride Sally Ride by Al Green,,1970.0,,,8255,https://genius.com/Al-green-ride-sally-ride-lyrics,0,2,1, yeah again  sally was a girl that lived in memphis was down on all the latest dances i found the groove and sally start to move and all the guys taking chances and everybody would say  ride sally ride all you gotta do wipe your weepin eyes tell you just shake it to the east now baby yeah just shake it to the west now baby hey baby just shake now shake it shake shake it yeah  sally would dance all night long this is what i say to you yeah how we fly we doin till we die we dancin till the night is through everybody sing  ride sally ride oh make me feel good wipe your weeping eyes all you gotta do is shake it to the east now baby id keep on sayin shake it to the west now baby gettin good i said you might also like shake it shake it babe shake it yeah shake it yeah early in the morning yeah in the evenin go on and shake it hey hey baby  ride sally ride lord have mercy wipe your weeping eyes go on and get it get it ride sally ride,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
12,Al Green,Free At Last,Free At Last by Al Green,1973-12-06,1973.0,12.0,6.0,7884,https://genius.com/Al-green-free-at-last-lyrics,0,1,1, free at last free at last thank god almighty im free at last  im alright cause youre here tonight thank god almighty everythings alright its been a long long climb glad i made it over cant stop myself from crying feeling all wrapped up in clover  i can sing my song sing if you dont do me wrong thank god almighty youre where you belong i can sing my song sing before too long thank god almighty sing my song  pain we can defeat listen baby honey has never been so sweet you got children standing on their feet walking up and down the street waving their hands and im you might also like free at last free free at last thank god almighty free at last i can sing my song sing i can sing my song thank god almighty i can sing my song free at last free man i said free at last oh ooh god almighty yeah yeah yeah said im free at last free free at last its all i could ask babe hey yeah  sing oh my babe i thank you thank you thank you yeah i thank you yes i got to thank you yes i got to thank you yeah thank god almighty free at last yeah baby yeah baby you know what i mean baby free free free free free free free free free free yeah yeah oh babe so i can sing thank god thank god almighty yeah free at last were free at last,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
13,Al Green,I’m A Ram,I’m A Ram by Al Green,,1971.0,3.0,,7366,https://genius.com/Al-green-im-a-ram-lyrics,0,1,2, drive on until i get there i think i’ll drive on until i get there  cause im a ram yes i am and i know just what to do think i’ll drive on and try to get next to you  hey baby ‘cause im a ram bet your life i do ‘cause im a ram now and i wanna get next to you oh baby yeah ooh  drive on until i get there i think ill drive on until i get there you might also like let me say cause im a ram yes i am and im as stubborn as i can be im a ram yes i am now try to get next to me  hey im a ram yeah you bet your life you do im a ram now wanna get next to you  drive on until i get there i think ill drive on until i get there  im a ram out in the bush and he needs to be free wont somebody please come and see about me  hey cause im a ram now bet your life i do cause im a ram now wanna get next to you oh thank you right now yeah my my my hey drive on cause im a ram drive on i want you to drive on hey gotta gotta keep on driving im as selfish as i can be im a ram now try to get next to me baby oh my my oh oh my my my my my,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
14,Al Green,I’m Glad You’re Mine,I’m Glad You’re Mine by Al Green,1972-10-23,1972.0,10.0,23.0,6886,https://genius.com/Al-green-im-glad-youre-mine-lyrics,0,1,2, baby im so glad youre here baby ive got something to say my dear baby yeah yeah im just so glad youre mine whoaho baby why did it take so long oh baby only made my love grow strong baby yeah yeah im so glad youre mine  hey hey hey hey when darkness gather round me and friends forsake me i know youll never let me down i know youll never let me down hey hey hey hey hey  baby im not gonna leave you alone baby on top of that ill give you what you want baby yeah im so glad youre mine  hey hey hey when darkness gather round me and friends forsake me i know youll never let me down i know youll never let me down woohoo boy hey hey you might also like i know youll never say baby baby baby im gonna turn my back and walk away now baby baby ill see you another day hey baby hey baby im so im so thankful for your love angel thankful for your love angel baby glad youre mine ah thankful for your love hey hey hey baby hey hey hey hey hey thankful for your love,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
15,Al Green,God Blessed Our Love,God Blessed Our Love by Al Green,,1974.0,10.0,,6309,https://genius.com/Al-green-god-blessed-our-love-lyrics,0,2,3, god blessed our love even in the morning when i rise i say god blessed our love  and every morning when i rise i can just see heaven more in your eyes it makes me know this is not an everyday love no no weve got something im sure we can be proud of  oh weve got so much show much love weve got so much so much trust cant you see a halo a halo i can see a halo hovering over us  and oh i didnt meant it baby but god blessed our love i have to say it this evening that god oh god blessed our love if youve got something to be thankful for you oughta just say hey god blessed our love ill have to say this evening god oh god blessed our love i swear he did you might also like let me say i could just stand up and tell the world oh babe that youre mine all mine all mine your love is heavenly desire and i just have to say i like kissing you i like i like hugging you i like squeezing you wanting you holding you loving you im glad im still loving you come on baby let me say that when people yeah people yeah start to criticize it dont bother me no no cause i know god god god is on our side  you see and let me just say that god god blessed our love i have to say that god blessed our love,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
16,Al Green,Call Me (Come Back Home),Call Me (Come Back Home) by Al Green,1973-01-30,1973.0,1.0,30.0,5662,https://genius.com/Al-green-call-me-come-back-home-lyrics,0,1,3, call me call me call me  what a beautiful time we had together now its getting late and we must leave each other yeah just remember the time we had and how right i tried to be its all in a days work call me  losing your love acting foolishly go on and take your time cause youre only losing me love is a long ways from here tell you its all in the way you feel if your love is real come to me  call me call me call me come back home  the best thing i can do is give you your love is give you your love baby let you go on your way feeling as free as a dove and if you find youre a long ways from home and somebodys doing you wrong just call on me baby come back home you might also like call me call me come back home call me call me come back home  hey when youre worried things aint going right yeah its all in a days work call me when youre lonely you can call me when youre feeling sad baby oh oh oh yeah its all in a days work come back home  call me call me come back home call me,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
17,Al Green,Judy,Judy by Al Green,1972-01-31,1972.0,1.0,31.0,5333,https://genius.com/Al-green-judy-lyrics,0,1,1, i never thought dreams could happen until one came true for me  since i met judy since i met judy oh my life has been one sweet melody yeah yeah  i never thought i could welcome two other hearts as i do  oh since i met judy since i met judy well its been a real hip thing im telling you oh im saying that i want judy  talking bout beauty shes got it i know shes got it and her sweet little ways mean so much to me oh yeah yeah i make it my duty to love her got her got her yeah yeah im gonna keep her right here with me yeah yeah you might also like now i find it hard to believe that im happy yeah and all my pains and heartaches are long gone so glad i can tell the world  since i met judy since i met judy well my life has been one sweet song and i wont be worried long and if you think im gonna leave her man youre wrong  its only judy im telling you youre wrong cause i love judy yeah im crazy bout judy judy judy judy judy oh what a woman what a woman,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
18,Al Green,What a Wonderful Thing Love Is,What a Wonderful Thing Love Is by Al Green,1972-10-23,1972.0,10.0,23.0,5172,https://genius.com/Al-green-what-a-wonderful-thing-love-is-lyrics,0,1,1,1 contributorwhat a wonderful thing love is lyrics oh what a wonderful thing love is oh i can see you standing there now and youre the prettiest thing in the crowd and guess wholl be laughing loud but me you made me see the love that youre giving me baby wont you hold my hand now that kind of makes a fool understand just let me know that im your man and show im not ashamed i walk the floor when you leave me baby i dont know about you let me tell you what im gonna do im gonna try to make my dreams come true with you baby with you baby yeah  i wanna say ive been crying about your love the nighttime find me wetting my pillow but i really i dont i dont mind no but if you you just let me say it again ive been crying i wish old trouble would leave me alone but ive been crying oh come on and stop the rain right now yeah stop the rain stop the rain stop the rain yeah baby baby yeah oh what a wonderful thing love is hey yeah babyyou might also likeembed,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
19,Al Green,Funny How Time Slips Away,Funny How Time Slips Away by Al Green,,1973.0,4.0,,5065,https://genius.com/Al-green-funny-how-time-slips-away-lyrics,0,1,1, time time time time  well hello there my its been a long time how am i doin well i guess im doin fine its been so long and it seems like it was only yesterday aint it funny how time slips away  hows your new love i hope hes doin fine oh yeah i heard you told him told him youre gonna love him til the end of time but if i remember thats the same thing same thing that you told me it was only yesterday aint it funny how time just slips away  i gotta go now i guess ill see you somewhere around somewhere around uhhuh but oh you dont know you never know we dont know you cant know when ill be back in town remember what i told you that in time youre gonna pay well aint it funny funny funny how time just slips away you might also likeall i want you to do is just just remember what i told you in time in time youre gonna pay yeah aint it funny funny funny how time just slips away  one thing i want you to do is just remember remember what i told you in time in time hey aint it funny funny funny how time just slips away ooh baby oh baby its the same thing same thing that you told me oh it seems like just the other day aint it funny funny funny how time just slips away funny thing about the time baby its funny baby how time slips away aint it funny funny funny how time just slips away,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
