,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image
10,Al Green,Here I Am (Come and Take Me),Here I Am (Come and Take Me) by Al Green,,1973,4,,8943,https://genius.com/Al-green-here-i-am-come-and-take-me-lyrics,0,1,2,"7 ContributorsHere I Am (Come and Take Me) Lyrics
I can't believe that it's real
The way that you make me feel
A burning deep down inside
A love that I cannot hide

Our love is you and me, baby
That make the world go round
And if keeping you and loving you means
Laying all my troubles down

Here I am, baby, come and take me
Here I am, baby, won't you come and take me
Take me by the hand, yeah
Show me
Here I am, baby

It always ends up this way
Me begging you every day
A love that I cannot have
You broke my heart into half

Our love is you and me, baby
That make the world go 'round
Keeping you and loving you means
Laying all my troubles down
You might also like
Here I am, baby, come and take me
Here I am, baby, won't you come and take me
Take me by the hand, yeah
Squeeze it
Here I am, baby

When I'm down I can always call you
For a helping hand
I know you'll do the best you can
But it don't take much for me
Before my cup runs over
All this love's inside of me
I believe there's going to be an explosion, yeah
You can talk to me, oh baby
I'm in no hurry
Tell me all your troubles
And you won't ever have to worry, no
And one more thing
You just can't trust everybody
Everybody you see, no no
You'll find yourself lost and alone
On a darkened street

Here I am, baby, come and take me
Here I am, baby, would you come and take me
Take me by the hand
Show me, hey hey
Take me, hey hey
Show me, won't you?
Here I am, baby, hey hey
Take me, won't you?
Teach me
Baby, won't you take me by the hand?
Teach me
Here I am, babyEmbed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
11,Al Green,Ride Sally Ride,Ride Sally Ride by Al Green,,1970,,,8255,https://genius.com/Al-green-ride-sally-ride-lyrics,0,2,1,"3 ContributorsRide Sally Ride Lyrics
Yeah, again

Sally was a girl that lived in Memphis
Was down on all the latest dances
I found the groove and Sally start to move
And all the guys taking chances and everybody would say

Ride Sally ride, all you gotta do wipe your weepin' eyes
Tell you just shake it to the east now, baby, yeah just
Shake it to the west now, baby, hey, baby just
Shake now, shake it, shake, shake it, yeah

Sally would dance all night long
This is what I say to you, yeah
How we fly we doin' till we die
We dancin' till the night is through
Everybody sing

Ride Sally ride, oh, make me feel good
Wipe your weeping eyes, all you gotta do is
Shake it to the east now, baby, I'd keep on sayin'
Shake it to the west now, baby, gettin' good, I said
You might also like
Shake it, shake it, babe
Shake it, yeah, shake it, yeah
Early in the morning yeah
In the evenin' go on and shake it, hey, hey baby

Ride Sally ride
Lord have mercy
Wipe your weeping eyes
Go on and get it, get it
Ride Sally rideEmbed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
12,Al Green,Free At Last,Free At Last by Al Green,1973-12-06,1973,12,6,7884,https://genius.com/Al-green-free-at-last-lyrics,0,1,1,"6 ContributorsFree At Last Lyrics
Free at last, free at last
Thank God almighty, I'm free at last

I'm alright
'Cause you're here tonight
Thank God almighty
Everything's alright
It's been a long, long climb
Glad I made it over
Can't stop myself from crying
Feeling all wrapped up in clover

I can sing my song (Sing)
If you don't do me wrong
Thank God almighty
You're where you belong
I can sing my song (Sing)
Before too long
Thank God almighty
Sing my song

Pain we can defeat
Listen, baby
Honey has never been so sweet
You got children standing on their feet
Walking up and down the street, waving their hands and I'm
You might also like
Free at last (Free)
Free at last
Thank God almighty
Free at last
I can sing my song (Sing)
I can sing my song
Thank God almighty
I can sing my song
Free at last (Free)
Man, I said, free at last, oh
Ooh, God almighty
Yeah, yeah, yeah
Said I'm free at last (Free)
Free at last
It's all I could ask, babe, hey, yeah

Sing
Oh, my babe
I thank you, thank you, thank you, yeah
I thank you, yes
I got to thank you, yes (I got to thank you, yeah)
Thank God almighty, free at last
Yeah, baby (Yeah, baby)
You know what I mean, baby
Free, free, free
Free, free, free
Free, free, free, free, yeah, yeah
Oh, babe
So I can sing
Thank God
Thank God almighty, yeah
Free at last
We're free at last1Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
13,Al Green,I’m A Ram,I’m A Ram by Al Green,,1971,3,,7366,https://genius.com/Al-green-im-a-ram-lyrics,0,1,2,"6 ContributorsI’m A Ram Lyrics
Drive on
Until I get there
I think i’ll drive on
Until I get there

'Cause I'm a ram, yes I am
And I know just what to do
Think I’ll drive on
And try to get next to you

Hey baby
‘Cause I'm a ram
Bet your life, I do
‘Cause I'm a ram now
And I wanna get next to you
Oh baby
Yeah
Ooh

Drive on
Until I get there
I think I'll drive on
Until I get there
You might also like
Let me say, 'cause I'm a ram, yes I am
And I'm as stubborn as I can be
I'm a ram, yes I am
Now try to get next to me

Hey, I'm a ram, yeah
You bet your life you do
I'm a ram now
Wanna get next to you

Drive on
Until I get there
I think I'll drive on
Until I get there

I'm a ram out in the bush
And he needs to be free
Won't somebody please
Come and see about me?

Hey, 'cause I'm a ram now
Bet your life i do
'Cause I'm a ram now
Wanna get next to you!
Oh thank you
Right now
Yeah
My my my
Hey
Drive on
'Cause I'm a ram
Drive on
I want you to
Drive on
Hey
Gotta, gotta keep on driving
I'm as selfish as I can be
I'm a ram now
Try to get next to me
Baby
Oh my my
Oh, oh my my my my myEmbed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
14,Al Green,I’m Glad You’re Mine,I’m Glad You’re Mine by Al Green,1972-10-23,1972,10,23,6886,https://genius.com/Al-green-im-glad-youre-mine-lyrics,0,1,2,"6 ContributorsI’m Glad You’re Mine Lyrics
Baby, I'm so glad you're here
Baby, I've got something to say, my dear
Baby, yeah, yeah, I'm just so glad you're mine
Whoa-ho, baby, why did it take so long?
Oh baby, only made my love grow strong
Baby, yeah, yeah, I'm so glad you're mine

Hey, hey, hey, hey
When darkness gather 'round me
And friends forsake me
I know you'll never let me down
I know you'll never let me down
Hey, hey, hey, hey, hey

Baby, I'm not gonna leave you alone
Baby, on top of that, I'll give you what you want
Baby, yeah, I'm so glad you're mine

Hey, hey, hey
When darkness gather 'round me
And friends forsake me
I know you'll never let me down
I know you'll never let me down
Woo-hoo, boy, hey, hey
You might also like
I know you'll never say, baby (Baby)
Baby, I'm gonna turn my back and walk away now
Baby, baby, I'll see you another day
Hey baby, hey baby, I'm so, I'm so
Thankful for your love, angel
Thankful for your love, angel baby
Glad you're mine
Ah (Thankful for your love), hey, hey, hey, baby
Hey, hey, hey, hey, hey, thankful for your loveEmbed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
15,Al Green,God Blessed Our Love,God Blessed Our Love by Al Green,,1974,10,,6309,https://genius.com/Al-green-god-blessed-our-love-lyrics,0,2,3,"2 ContributorsGod Blessed Our Love Lyrics
God blessed our love
Even in the morning when I rise
I say, God blessed our love

And every morning when I rise
I can just see heaven more in your eyes
It makes me know this is not an everyday love, no, no
We've got something, I'm sure we can be proud of

Oh, we've got so much, show much love
We've got so much, so much trust
Can't you see a halo, a halo?
I can see a halo hovering over us

And oh, I didn't meant it, baby
But God, blessed our love
I have to say it this evening that
God, oh God, blessed our love
If you've got something to be thankful for
You oughta just say, hey
God, blessed our love
I'll have to say this evening
God, oh God, blessed our love
I swear He did
You might also like
Let me say, I could just stand up
And tell the world, oh babe
That you're mine, all mine, all mine
Your love is heavenly desire
And I just have to say, I like kissing you
I like, I like, hugging you
I like squeezing you, wanting you
Holding you, loving you
I'm glad, I'm still loving you, come on, baby
Let me say that when people, yeah
People, yeah, start to criticize, it don't bother me
No, no, 'cause I know God, God
God is on our side

You see and let me just say that
God, God blessed our love
I have to say that, God, blessed our loveEmbed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
16,Al Green,Call Me (Come Back Home),Call Me (Come Back Home) by Al Green,1973-01-30,1973,1,30,5662,https://genius.com/Al-green-call-me-come-back-home-lyrics,0,1,3,"5 ContributorsCall Me (Come Back Home) Lyrics
Call me, call me, call me

What a beautiful time we had together
Now it's getting late and we must leave each other, yeah
Just remember the time we had
And how right I tried to be
It's all in a day's work
Call me

Losing your love, acting foolishly
Go on and take your time
'Cause you're only losing me
Love is a long ways from here
Tell you, it's all in the way you feel
If your love is real
Come to me

Call me, call me, call me
Come back home

The best thing I can do is give you your love
(Is give you your love, baby)
Let you go on your way
Feeling as free as a dove
And if you find you're a long ways from home
And somebody's doing you wrong
Just call on me baby
Come back home
You might also like
Call me, call me
Come back home
Call me, call me
Come back home

Hey, when you're worried
Things ain't going right, yeah
It's all in a day's work
Call me
When you're lonely
You can call me
When you're feeling sad, baby
Oh oh oh, yeah
It's all in a day's work
Come back home

Call me, call me
Come back home
Call meEmbed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
17,Al Green,Judy,Judy by Al Green,1972-01-31,1972,1,31,5333,https://genius.com/Al-green-judy-lyrics,0,1,1,"5 ContributorsJudy Lyrics
I never thought dreams could happen
Until one came true for me

Since I met Judy
Since I met Judy
Oh, my life has been one sweet melody
Yeah, yeah

I never thought I could welcome
Two other hearts as I do

Oh, since I met Judy
Since I met Judy
Well, it's been a real hip thing, I'm telling you
Oh, I'm saying that I want Judy

Talking 'bout beauty
She's got it, I know she's got it
And her sweet little ways
Mean so much to me, oh yeah, yeah
I make it my duty to love her, got her, got her, yeah, yeah
I'm gonna keep her right here with me, yeah, yeah
You might also like
Now I find it hard to believe that I'm happy, yeah
And all my pains and heartaches are long gone, so glad I can tell the world

Since I met Judy
Since I met Judy
Well, my life has been one sweet song
And I won't be worried long, and
If you think I'm gonna leave her, man, you're wrong

It's only Judy, I'm telling you you're wrong
'Cause I love Judy, yeah
I'm crazy 'bout Judy, Judy, Judy, Judy
Judy, oh, what a woman, what a woman3Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
18,Al Green,What a Wonderful Thing Love Is,What a Wonderful Thing Love Is by Al Green,1972-10-23,1972,10,23,5172,https://genius.com/Al-green-what-a-wonderful-thing-love-is-lyrics,0,1,1,"1 ContributorWhat a Wonderful Thing Love Is Lyrics
Oh, what a wonderful thing love is
Oh, I can see you standing there now
And you're the prettiest thing in the crowd
And guess who'll be laughing loud but me
You made me see the love that you're giving me
Baby, won't you hold my hand?
Now, that kind of makes a fool understand
Just let me know that I'm your man
And show I'm not ashamed
I walk the floor when you leave me
Baby, I don't know about you
Let me tell you what I'm gonna do
I'm gonna try to make my dreams come true
With you, baby
With you, baby, yeah

I wanna say, I've been crying about your love
The nighttime find me wetting my pillow
But I, really I don't, I don't mind, no
But if you you just let me say it again
I've been crying
I wish old trouble would leave me alone
But I've been crying
Oh, come on and stop the rain right now, yeah
Stop the rain, stop the rain, stop the rain, yeah
Baby, baby, yeah
Oh, what a wonderful thing love is
Hey, yeah, babyYou might also like2Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
19,Al Green,Funny How Time Slips Away,Funny How Time Slips Away by Al Green,,1973,4,,5065,https://genius.com/Al-green-funny-how-time-slips-away-lyrics,0,1,1,"5 ContributorsFunny How Time Slips Away Lyrics
Time, time, time, time

Well, hello there
My, it's been a long time
How am I doin'?
Well, I guess I'm doin' fine
It's been so long and it seems like
It was only yesterday
Ain't it funny how time slips away

How's your new love?
I hope he's doin' fine, oh yeah
I heard you told him, told him
You're gonna love him 'til the end of time
But, if I remember, that's the same thing, same thing
That you told me, it was only yesterday
Ain't it funny how time just slips away

I gotta go now
I guess I'll see you somewhere around, somewhere around
Uh-huh, but, oh, you don't know, you never know
We don't know, you can't know when I'll be back in town
Remember what I told you
That in time you're gonna pay
Well, ain't it funny, funny, funny how time just slips away
You might also likeAll I want you to do is just, just remember what I told you
In time, in time, you're gonna pay
Yeah, ain't it funny, funny, funny how time just slips away

One thing I want you to do
Is just remember, remember what I told you
In time, in time, hey
Ain't it funny, funny, funny how time just slips away
Ooh baby, oh baby
It's the same thing, same thing that you told me
Oh, it seems like just the other day
Ain't it funny, funny, funny how time just slips away
Funny thing about the time, baby
It's funny, baby, how time slips away
Ain't it funny, funny, funny how time just slips away1Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
