,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count
pop,love got oh baby youre let wanna go want cause time come make now one feel see cant say girl,love,got,oh,baby,youre,let,wanna,go,want,cause,time,come,make,now,one,feel,see,cant,say,girl,1.0,0.7657657657657657,0.6872586872586872,0.637065637065637,0.5842985842985843,0.5534105534105535,0.5521235521235521,0.5263835263835264,0.4864864864864865,0.44787644787644787,0.42985842985842987,0.425997425997426,0.42213642213642216,0.4144144144144144,0.3912483912483912,0.3783783783783784,0.3783783783783784,0.3564993564993565,0.35006435006435005,0.34234234234234234
rock,oh now love might ah time way come one never cant got want ill youre make ive gonna say will,oh,now,love,might,ah,time,way,come,one,never,cant,got,want,ill,youre,make,ive,gonna,say,will,1.0,0.6348039215686274,0.5857843137254902,0.5245098039215687,0.49754901960784315,0.4950980392156863,0.48284313725490197,0.4730392156862745,0.4632352941176471,0.4534313725490196,0.45098039215686275,0.41421568627450983,0.3946078431372549,0.3602941176470588,0.35294117647058826,0.35049019607843135,0.35049019607843135,0.3480392156862745,0.34558823529411764,0.3431372549019608
rap,nigga got now aint cause one go shit love back see fuck thats let cant make man time never come,nigga,got,now,aint,cause,one,go,shit,love,back,see,fuck,thats,let,cant,make,man,time,never,come,1.0,0.825503355704698,0.674496644295302,0.5615212527964206,0.540268456375839,0.5369127516778524,0.5223713646532439,0.5,0.4966442953020134,0.4809843400447427,0.4697986577181208,0.4519015659955257,0.40604026845637586,0.39038031319910516,0.3769574944071588,0.3713646532438479,0.3635346756152125,0.3523489932885906,0.348993288590604,0.3389261744966443
soul,love baby oh got let come day might time now right make see want aint say youre la back man,love,baby,oh,got,let,come,day,might,time,now,right,make,see,want,aint,say,youre,la,back,man,1.0,0.6628643852978454,0.6577946768060836,0.5031685678073511,0.3409378960709759,0.31305449936628643,0.311787072243346,0.30544993662864384,0.2877059569074778,0.28390367553865653,0.2826362484157161,0.26869455006337134,0.23067173637515842,0.229404309252218,0.22306717363751585,0.22053231939163498,0.21926489226869456,0.21292775665399238,0.19898605830164764,0.1964512040557668
