,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count
pop,im love know yeah got oh baby youre let wanna go want cause time come make now one feel see,im,love,know,yeah,got,oh,baby,youre,let,wanna,go,want,cause,time,come,make,now,one,feel,see,1.0,0.7801204819277109,0.6987951807228916,0.6596385542168675,0.5973895582329317,0.536144578313253,0.49698795180722893,0.45582329317269077,0.43172690763052207,0.4307228915662651,0.4106425702811245,0.3795180722891566,0.3493975903614458,0.3353413654618474,0.33232931726907633,0.3293172690763052,0.3232931726907631,0.30522088353413657,0.29518072289156627,0.29518072289156627
rock,im oh yeah know now love might ah time way come one never cant got want ill youre make ive,im,oh,yeah,know,now,love,might,ah,time,way,come,one,never,cant,got,want,ill,youre,make,ive,1.0,0.8127490039840638,0.796812749003984,0.5219123505976095,0.5159362549800797,0.4760956175298805,0.4262948207171315,0.4043824701195219,0.40239043824701193,0.39243027888446214,0.3844621513944223,0.37649402390438247,0.36852589641434264,0.3665338645418327,0.33665338645418325,0.3207171314741036,0.29282868525896416,0.2868525896414343,0.2848605577689243,0.2848605577689243
rap,im nigga know got now yeah aint cause one go shit love back see fuck thats let cant make man,im,nigga,know,got,now,yeah,aint,cause,one,go,shit,love,back,see,fuck,thats,let,cant,make,man,1.0,0.7557058326289096,0.6559594251901945,0.6238377007607777,0.5097210481825867,0.45054945054945056,0.4243448858833474,0.40828402366863903,0.4057480980557904,0.39475908706677937,0.3778529163144548,0.37531699070160607,0.36348267117497884,0.35502958579881655,0.3415046491969569,0.30684699915469144,0.29501267962806427,0.2848689771766695,0.28064243448858833,0.27472527472527475
soul,love baby oh im know yeah got let come day might time now right make see want aint say youre,love,baby,oh,im,know,yeah,got,let,come,day,might,time,now,right,make,see,want,aint,say,youre,1.0,0.6628643852978454,0.6577946768060836,0.6070975918884665,0.5779467680608364,0.5158428390367554,0.5031685678073511,0.3409378960709759,0.31305449936628643,0.311787072243346,0.30544993662864384,0.2877059569074778,0.28390367553865653,0.2826362484157161,0.26869455006337134,0.23067173637515842,0.229404309252218,0.22306717363751585,0.22053231939163498,0.21926489226869456
